,vgg,label
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,1,1
10,0,0
11,0,0
12,1,1
13,1,1
14,0,0
15,1,1
16,0,0
17,1,1
18,0,0
19,0,0
20,1,1
21,0,0
22,1,1
23,0,0
24,1,1
25,1,1
26,0,0
27,0,0
28,0,0
29,1,1
30,1,1
31,1,1
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,1,1
44,0,0
45,0,0
46,0,0
47,1,1
48,0,0
49,0,0
50,0,0
51,0,0
52,1,1
53,1,1
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,1,1
61,1,1
62,1,1
63,1,1
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,1,1
71,0,0
72,1,1
73,1,1
74,1,1
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,1,1
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,1,1
89,0,0
90,0,0
91,0,0
92,1,1
93,1,1
94,0,0
95,1,1
96,0,0
97,0,0
98,0,0
99,0,0
100,1,1
101,0,0
102,0,0
103,1,1
104,0,0
105,0,0
106,0,0
107,1,1
108,1,1
109,0,0
110,1,1
111,0,0
112,0,0
113,1,1
114,0,0
115,0,0
116,0,0
117,1,1
118,1,1
119,1,1
120,1,1
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,1,1
130,1,1
131,0,0
132,0,0
133,0,0
134,1,1
135,0,0
136,0,0
137,1,1
138,0,0
139,1,1
140,0,0
141,1,1
142,0,0
143,0,0
144,1,1
145,0,0
146,0,0
147,0,0
148,0,0
149,1,1
150,0,0
151,1,1
152,0,0
153,0,0
154,0,0
155,1,1
156,0,0
157,0,0
158,0,0
159,1,1
160,0,0
161,0,0
162,1,1
163,0,0
164,1,1
165,0,0
166,1,1
167,1,1
168,0,0
169,0,0
170,0,0
171,1,1
172,1,1
173,0,0
174,0,0
175,0,0
176,1,1
177,0,0
178,1,1
